stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"77705","MARZABOTTO Z.I.","44.35329622","11.20701165","0",""
"77709","ZONA INDUSTRIALE SASSATELLO","44.34879669","11.20662315","0",""
"78001","LA CASACCIA","44.12805172","10.99360909","0",""
"78002","LA CASACCIA","44.12812544","10.99351157","0",""
"78005","PONTE TEGLIA","44.12848989","10.99738622","0",""
"78006","PONTE TEGLIA","44.12852501","10.9974374","0",""
"78009","CA` DI DANO","44.13204443","10.99696855","0",""
"78010","CA` DI DANO","44.13217324","10.99681039","0",""
"78013","PAVANA PISTOIESE GIARDINO","44.13188456","11.00352584","0",""
"78014","PAVANA PISTOIESE GIARDINO","44.13193986","11.0034527","0",""
"78017","PAVANA PISTOIESE ZAVARI","44.13226812","11.01038904","0",""
"78018","PAVANA PISTOIESE ZAVARI","44.13234844","11.01042926","0",""
"78021","BORGATA PACCIANO","44.13036325","11.01540955","0",""
"78022","BORGATA PACCIANO","44.13042563","11.01554214","0",""
"78025","POGGIOLINO","44.12710374","11.01788448","0",""
"78026","POGGIOLINO","44.12705434","11.01797342","0",""
"780501","BERZANTINA ORTO","44.15948163","10.97737018","0",""
"780502","BERZANTINA ORTO","44.1595672","10.97725944","0",""
"78301","CASE PERINO","44.1425576","11.04527594","0",""
"78302","CASE PERINO","44.14256348","11.04494795","0",""
"78305","COSTOZZA","44.1408177","11.05177168","0",""
"78306","COSTOZZA","44.14092427","11.051791","0",""
"78309","POGGIO COSTOZZA","44.14512529","11.05317125","0",""
"78310","POGGIO COSTOZZA","44.14522286","11.05306523","0",""
"78403","PIANACCI","44.13337986","11.0470138","0",""
"78404","PIANACCI","44.13341248","11.04707743","0",""
"78405","PIDERLA","44.13288597","11.05148913","0",""
"78406","PIDERLA","44.13295275","11.05153049","0",""
"78409","CA` DEL FABBRO","44.13020424","11.05433375","0",""
"78410","CA` DEL FABBRO","44.13023672","11.05440518","0",""
"78413","BARGI RISTORANTE RIGHETTI","44.12805595","11.05817316","0",""
"78414","BARGI RISTORANTE RIGHETTI","44.12808575","11.05808045","0",""
"78417","BARGI POSTE","44.12960111","11.05892215","0",""
"78418","BARGI POSTE","44.12973314","11.05896424","0",""
"78421","CASA FANTI","44.12594356","11.06126362","0",""
"78422","CASA FANTI","44.12595579","11.06120935","0",""
"78425","CASETTA DEI TOPI","44.12472538","11.06577548","0",""
"78426","CASETTA DEI TOPI","44.12483612","11.06581294","0",""
"78429","BAIGNO CALCINARA","44.12589569","11.07926839","0",""
"78430","BAIGNO CALCINARA","44.12597117","11.07932573","0",""
"78433","BAIGNO","44.12787928","11.08343158","0",""
"78434","BAIGNO","44.12789349","11.08323834","0",""
"78437","BARCEDA ALBERGO CAVICCHI","44.13457891","11.08647212","0",""
"78438","BARCEDA ALBERGO CAVICCHI","44.13462027","11.08636419","0",""
"78441","BARCEDA","44.1364148","11.08700559","0",""
"78442","BARCEDA","44.13645128","11.08685686","0",""
"78801","CAMPACCIOLI","44.13599575","11.08237318","0",""
"78805","BAIGNO CHIESA","44.13446181","11.07993629","0",""
"78809","BAIGNO LA SERRA","44.13129967","11.08137684","0",""
"78813","BAIGNO BIVIO FORNO","44.12656043","11.08129629","0",""
"790000","QUERCIACAVA","44.22847318","11.08663477","0",""
"790007","ORELIA DI SOPRA","44.22958858","11.09881487","0",""
"790008","ORELIA DI SOPRA","44.22950626","11.09913046","0",""
"790009","BIVIO OREGLIA","44.22798617","11.08655809","0",""
"790010","BIVIO OREGLIA","44.22794211","11.08687502","0",""
"790011","CHIOSI","44.2209226","11.07628769","0",""
"790012","CHIOSI","44.22102926","11.07673429","0",""
"790013","VIMIGNANO","44.21717037","11.07435","0",""
"790014","VIMIGNANO","44.21735224","11.07412635","0",""
"790015","CAVALLINO","44.21759293","11.07769317","0",""
"790016","CAVALLINO","44.21773393","11.07764493","0",""
"790017","CAMPOLO","44.21536096","11.08012374","0",""
"790018","CAMPOLO","44.21550572","11.08042378","0",""
"790019","BORGO RIO","44.20900068","11.06733531","0",""
"790020","BORGO RIO","44.20935209","11.06735604","0",""
"790028","QUERCIACAVA","44.22848204","11.08676576","0",""
"790031","BURZANELLA","44.1971205","11.11925151","0",""
"790032","BURZANELLA","44.19716399","11.11896994","0",""
"790033","QUERCETI","44.20046187","11.12342457","0",""
"790034","QUERCETI","44.20050548","11.12310701","0",""
"790035","ROVOLA","44.21100306","11.1269543","0",""
"790036","ROVOLA","44.21101285","11.12668898","0",""
"790037","STALLUCCIO","44.21442281","11.13106075","0",""
"790038","STALLUCCIO","44.21460725","11.1310674","0",""
"790039","LE ROVINE","44.21732927","11.13394315","0",""
"790040","LE ROVINE","44.21731459","11.13361479","0",""
"790041","MONTEACUTO CHIESA","44.22363724","11.13154978","0",""
"790042","MONTEACUTO CHIESA","44.22366332","11.13123773","0",""
"790043","BIVIO STALLUCCIO","44.21983286","11.13342097","0",""
"790044","BIVIO STALLUCCIO","44.21965937","11.13340062","0",""
"790045","CAVANELLA","44.22060085","11.13125552","0",""
"790046","CAVANELLA","44.22043507","11.13133483","0",""
"790047","MONTEACUTO COLLINA","44.22420251","11.12292445","0",""
"790048","MONTEACUTO COLLINA","44.22404474","11.12314727","0",""
"790049","CASONE DI MONTEACUTO","44.22686467","11.14187122","0",""
